Exercise,Counter,Timestamp,Acc_X1,Acc_Y1,Acc_Z1,Acc_X2,Acc_Y2,Acc_Z2,Rotspeed_X,Rotspeed_Y,Rotspeed_Z
1.0,2.0,0.0,0.13,9.33,-8.37,-0.0551682171951051,0.19765357978025,0.0461089079215699,-2.69,0.75,0.37
1.0,3.0,0.0539999999999994,-0.0351759282216742,-0.0568812452266595,0.366021576728445,-0.0204160561110264,0.181587336806374,0.00963021514671052,-2.82,-0.94,1.44
1.0,4.0,0.105,0.0233466604019728,-0.122139139458651,0.32463613256153,0.0320829382969694,0.0556814101210934,0.105266647125725,-1.63,-3.57,2.31
1.0,5.0,0.157,-0.0468212696193015,-0.153960409677713,0.340803664901893,-0.176067563464953,0.180429966141113,0.0944489923043152,-0.19,-2.07,2.63
1.0,6.0,0.212,-0.056209513946041,-0.114326264920981,0.347153124863929,-0.0238742401004368,0.0703447346082264,0.0583501101590949,-1.07,-1.94,1.31
1.0,7.0,0.263999999999999,0.0638724484657158,-0.117437020494321,0.355205903430392,-0.0804050300525424,0.0288414304203367,0.149822754092085,-0.12,-2.69,1.5
1.0,8.0,0.315,0.0340363840849107,-0.10717112726225,0.357211101271047,-0.0483919345956071,0.0675537883506379,0.114551737000181,0.19,-2.38,0.68
1.0,9.0,0.367999999999999,-0.0861535351398027,-0.0910815637312449,0.330955604519968,-0.0901470683925296,0.217703722643435,-0.000289504904872437,2.12,-0.31,0.12
1.0,10.0,0.422,0.053898438468675,-0.105879643907251,0.347031173649293,-0.0468581534728755,0.0135293970270166,0.107245703972768,3.19,-1.75,0.25
1.0,11.0,0.474,-0.0733226590103249,-0.154100860614171,0.352169742215349,0.167973976772389,0.0800916816261317,0.0190621394641376,4.56,-7.19,0.88
1.0,12.0,0.524999999999999,0.480862017766729,-0.0691358468691691,0.411687209868329,0.27669467945094,-0.306140210825011,0.200728523660525,10.94,-1.06,0.87
1.0,13.0,0.577,0.531677189890812,-0.296703222601593,0.303683240838351,-0.040750615883411,-0.562983174269943,0.348707044866534,6.87,5.0,-1.94
1.0,14.0,0.632,0.478564316042878,-0.113826145398066,0.374349556855755,0.155842062647403,-0.28622688542285,0.224298171740586,4.88,10.44,-5.37
1.0,15.0,0.684,0.178011943553461,-0.391523378740415,0.267702230843599,-0.250045783254832,0.0221199548324922,0.087131381155501,-1.44,7.81,-4.37
1.0,16.0,0.734999999999999,-0.328054764971821,-0.22777887933711,0.322786872339589,-0.1985585156138,0.387821160980606,-0.126156534340464,-3.25,4.44,-3.06
1.0,17.0,0.789,-0.758228678199573,-0.194682119364969,0.283038773169181,-0.367911461361266,0.667963125324285,-0.323158053745235,-0.44,5.19,-3.38
1.0,18.0,0.843999999999999,-0.40995900409959,-0.131747649152693,0.323447307304066,-0.392400805987219,0.438492576354714,-0.0981515986510991,1.32,0.0599999999999999,-1.5
1.0,19.0,0.895,-0.27997200279972,-0.189465105084332,0.304265143928563,0.000682634049267421,0.247524703069159,-0.0865647838674812,2.68,1.06,-2.19
1.0,20.0,0.948,-0.0754418202542255,-0.0646861229633697,0.355203904230152,-0.022112561178525,0.14568778560919,-0.0906216324041275,1.62,0.19,-0.56
1.0,21.0,1.004,-0.165145935020155,-0.0666193495953878,0.376323455564836,-0.13036777053793,0.281702754901403,-0.132986559537716,1.56,1.63,-0.68
1.0,22.0,1.056,-0.0450639726083977,-0.0697301051687283,0.384376234131298,0.0748359858831362,-0.0255067198944907,-0.0287437798907515,1.13,-3.32,0.87
1.0,23.0,1.108,0.192930819954785,-0.166955211237297,0.335607743478299,0.088246648447223,-0.114524903835518,0.0894558902834978,1.06,-5.06,2.12
1.0,24.0,1.158,0.223808467660597,-0.119516188743855,0.352774875938629,0.089394550391034,-0.178949107549944,0.0846599911569593,-0.56,-2.94,1.44
1.0,25.0,1.208,0.119683286792386,-0.0733116700020804,0.380048856131654,0.0635995875198538,-0.0656814949479295,0.0138336484977293,-3.13,0.87,0.5
1.0,26.0,1.259,0.0172117839131409,-0.125274693987339,0.344202711238084,0.0241527111510233,-0.10176490769251,0.0598016475125715,-2.19,0.94,0.25
